Timestamp,Which category applies to you?,,"From July 1 2022 - June 30 2023 was your work for Smith College fully in-person, fully remote, or a combination of the two?

If you worked fully remotely, you can submit now!",DAYS PER WEEK COMMUTING,MILES,Which means of transportation did you mainly use to commute to Smith?,"If you chose ""Car"" above, do you use an EV (Electric Vehicle), or a Hybrid (cars that use both gas and electricity)?","If you use an EV or Hybrid, how convenient do you find the number and location of Smith's EV charging spots on campus?",(Optional) Please elaborate on your answer above.,"Are you currently, or have you ever considered buying an EV?",Would the availability of charging stations on campus impact your decision?,"(Optional) is there any other information CEEDS should know about the carbon footprint of your commute? (for example, you might share your car's gas mileage or unusual commuting circumstances)","If you were hired after July 1 2022, please select which month you were hired below:"
9/19/2023 11:06:47,Staff,1,Combination of the two,2,8,Bicycle,,,,Sometimes,Yes,Re-evaluate the commuter incentive.  I think it still should be offered to hybrid schedule employees.  Two days a week in a carbon producing vehicle still contributes to the environmental mess!,
,,,,,8,,,,,,,,
7/25/2023 8:26:11,Staff,2,Combination of the two,4,5,Bus,I don't have either,,,,,"I would love to see Smith supporting expanded hours/frequency of the R41-Easthampton/Holyoke bus route to make it more convenient and usable. I don't have a car, so I am bound to it either way!",
7/25/2023 11:54:58,Staff,3,Combination of the two,5,4.3,Bus,I have a Hybrid,,"When I do drive, I drive a Prius hybrid (not a plug in)",Yes,No,"When they were available last summer and fall, I often used the electric bikes.",
9/19/2023 11:15:26,Staff,4,Combination of the two,3,10,Bus,,2,"There are very few, but the location is of the one I have used, next to Ford Hall is great for me.",,,"As I said, I generally take the bus, I get dropped off and pick up at a bus stop, usually anywhere from Walmart stop to Amherst Town green, depending. The car used to drop me off at bus station and that I sometimes take into Smith, if necessary, is an EV. 
The easier the charging, the more people will switch to EVs.",
,,,,,6.433333333,,,,,,,,
6/26/2023 8:05:23,Staff,5,Fully in-person,5 days,5,Car (driving myself),I have a Hybrid,,,Yes,"Nope, just waiting on newer, more affordable models to come out!",,
7/21/2023 14:25:18,Staff,6,Fully in-person,5 days,32.6,Car (driving myself),I don't have either,,,Yes,yes!  especially if there were fast charging options,,January 2023
7/21/2023 14:46:35,Staff,7,Fully in-person,5 days,4.5,Car (driving myself),I have a Hybrid,3,n/a ,Sometimes,"Yes, although it isn't the first consideration. ","Do we want to know what their MPG is for their car? A truck and a midsize or small can have different C footprints over the same distance. Or just the type of vehicle they drive so we can calculate C footprint based on some standards? Do we want to know if they have a parking permit for any reason? 
Good to ask this question! Do you have ideas about what people might add here? An example(s) might prompt more out-of-the-box thinking. 

:)",
7/25/2023 6:47:41,Staff,8,Combination of the two,3 days,14,Car (driving myself),I don't have either,,,Sometimes,"No, cost of the vehicle",,
7/25/2023 6:54:50,Staff,9,Fully in-person,5 days,13,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 7:29:30,Staff,10,Fully in-person,5 days,60,Car (driving myself),I don't have either,,"I have asked HR to provide a list of car pool possibilities, but they never got back to me",Yes,yes--but right now I can't afford an EV or hybrid,"Again, it would be helpful if Smith helped commuters to find car pool buddies",
7/25/2023 7:36:19,Staff,11,Combination of the two,3 days,5,Car (driving myself),I don't have either,,,No,No,,
7/25/2023 7:36:56,Staff,12,Combination of the two,2 days,5,Car (driving myself),I don't have either,,,Yes,yes,,
7/25/2023 7:41:18,Staff,13,Combination of the two,1 day,10,Car (driving myself),I don't have either,,,Sometimes,"No, but it would be a perk. ",,
7/25/2023 7:58:39,Staff,14,Fully in-person,5 days,10,Car (driving myself),I don't have either,,,Yes,No. ,,
7/25/2023 7:59:46,Staff,15,Combination of the two,3 days,17,Car (driving myself),I have a Hybrid,3,,Sometimes,"The availability of charging stations is not the primary decision factor for me in purchasing an EV. Primary decision factors include vehicle cost, reliability ratings, driving mileage range. ",Primarily highway driving with an average of about 27-28 MPG.,
7/25/2023 8:00:41,Staff,16,Combination of the two,2 days,1.4,Car (driving myself),I don't have either,,,No, No,EV cars also do damage to the environment. I hope Smith does not start shaming those of us who do not have EVs ,
7/25/2023 8:07:31,Staff,17,Combination of the two,4 days,28,Car (driving myself),I don't have either,,,Sometimes,yes,my mileage average - 32 mpg,March 2023
7/25/2023 8:12:04,Staff,18,Combination of the two,4 days,21.6,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 8:15:58,Staff,19,Combination of the two,2 days,8,Car (driving myself),,,,Yes,Maybe,"My partner and I both work at Smith. We carpool 2-3 days per week, and from July '22 to June '23, we alternated vehicles to balance the wear and tear. ",
7/25/2023 8:17:27,Staff,20,Fully in-person,5 days,48,Car (driving myself),I don't have either,,,No,Yes,My car gets 30 MPG during my commute,
7/25/2023 8:20:42,Staff,21,Combination of the two,3,6.25,Car (driving myself),I don't have either,,,Yes,Yes. In fact the lack of convenient charging and wild price changes of existing charging on campus has me considering a new ICE vehicle instead. Where my son works almost half of the parking spots have free electric charging. Really is encouraging EV adoption there.,,
7/25/2023 8:24:03,Staff,22,Combination of the two,5,20,Car (driving myself),I don't have either,,An EV would be an expensive upgrade to the car I have now especially considering the high automotive loan interest rates right now. Also I don’t have a level two charger at home and that would be an expensive install as on campus charging always look full and I don’t think I have the flexibility I’m my smith work schedule to switch my car spot into ev charge spot when one becomes available.  Smith could do more in these areas to support Ev adoption.,Yes,Yes and the flexibility in work schedule to shuffle car into and out of ev car charging spot.,"It’s very expensive to live near campus as home prices are a few hundred thousand dollars more than towns further away. Smith’s housing assistance second mortgage plan is not liberal enough and supports high earning faculty and staff at grade G and above. More resources could be shifted from this group of high paid faculty and administration employees to lower grade, H and below, to support these employees living closer to campus.  Initiatives like these should be part of the equity and inclusion racial justice action planning as well as carbon footprint initiatives. Thank you for your time.",
7/25/2023 8:25:15,Staff,23,Fully in-person,5,20.2,Car (driving myself),I don't have either,,,Yes,Only slightly.  The cost of EV or hybrids is currently exceeds my budget.,,
7/25/2023 8:26:35,Staff,24,Combination of the two,4,25,Car (driving myself),I don't have either,,,No,,,September 2022
7/25/2023 8:31:10,Staff,25,Fully in-person,5,21,Car (driving myself),I have a Hybrid,,My hybrid doesn't require charging,Sometimes,,,
7/25/2023 8:33:02,Staff,26,Fully in-person,5,8,Car (driving myself),I don't have either,,,No,no,my car's gas mileage is 32 mpg,June 2023
7/25/2023 8:35:20,Staff,27,Combination of the two,3,2.5,Car (driving myself),I don't have either,,,Sometimes,I think so,,
7/25/2023 8:35:38,Staff,28,Fully in-person,5,22,Car (driving myself),I have a Hybrid,4,"The location is super convenient and because I get here early, I can always get a spot. But if we want/expect more people to use EVs, then we will need more charging stations. I also think the new practice of charging more after cars are fully charged is really smart, and I've noticed it has cut down on people parking in those spots all day. ",Yes,"Before I bought it did, and knowing there were stations on campus helped me make the decision. ","The EV range on my hybrid allows me to drive round-trip on one charge, so I'm really not using gas for my commute. ",
7/25/2023 8:36:02,Staff,29,Combination of the two,3,5,Car (driving myself),I don't have either,,,Sometimes,I think the availability of charging stations on campus is important for everyone,"I am involved in elder care and that affects my decision to drive to work, despite the very small distance. :(",
7/25/2023 8:37:19,Staff,30,Fully in-person,5,21,Car (driving myself),I don't have either,,,No,,,March 2023
7/25/2023 8:43:04,Staff,31,Combination of the two,4,8,Car (driving myself),I don't have either,,,Yes,no,,September 2022
7/25/2023 8:47:25,Staff,32,Combination of the two,4,50,Car (driving myself),I don't have either,,,No,No.,,
7/25/2023 8:55:46,Staff,33,Fully in-person,5,32.8,Car (driving myself),I don't have either,,,Sometimes,"Perhaps, it would depend on the vehicle.","The priorities for my car choice are safety,  good engine, power and handling. The elevation where I live is over 1600ft with many steep hills and curves. It can be treacherous driving during snowstorms.  I would need to do research and see what hybrid or EV vehicles meet my needs before making a switch from fossil fuel.  At this point in time,  I am more concerned about securing a parking space when I arrive to work than the availability of a charging station. Please address the parking first and then consider the ratio of charging to non-charging parking spaces.  Thank you. ",
7/25/2023 8:55:52,Staff,34,Combination of the two,4,10,Car (driving myself),I don't have either,,,Sometimes,,,
7/25/2023 8:57:48,Staff,35,Combination of the two,2,12,Car (driving myself),I don't have either,,,Sometimes,Yes,,
7/25/2023 9:08:04,Staff,36,Fully in-person,5,10.3,Car (driving myself),I don't have either,,,Yes,No - it is entirely based on the range and the time to charge. I am an at-risk minority and I need to have a reliable means to flee to safety in the current political climate.,My combined MPG in a 2018 Mini Cooper in 30MPG,June 2023
7/25/2023 9:16:01,Staff,37,Combination of the two,4,19,Car (driving myself),I don't have either,,,Yes,Yes,I carpool with a neighbor who works in Easthampton about 1 time per week.,
7/25/2023 9:18:08,Staff,38,Combination of the two,4,3.6,Car (driving myself),I don't have either,,,Yes,Yes,,
7/25/2023 9:19:33,Staff,39,Combination of the two,3,3.7,Car (driving myself),I don't have either,,,Sometimes,Not particularly.,"Between 1 and 2 days of my in-person schedule, I will be carpooling with a spouse who also works in Northampton.",
7/25/2023 9:27:56,Staff,40,Combination of the two,2,11,Car (driving myself),I don't have either,,,Sometimes,,,
7/25/2023 9:31:15,Staff,41,Combination of the two,4,4.6,Car (driving myself),I have a Hybrid,,,Yes,"Maybe, but it is currently price of the vehicle and overall charging infrastructure that impacts the decision to buy an EV",,
7/25/2023 9:34:54,Staff,42,Combination of the two,2,25.1,Car (driving myself),I have a Hybrid,,,No,,,March 2023
7/25/2023 9:45:54,Staff,43,Fully in-person,5,28.7,Car (driving myself),I don't have either,,,Yes,"Yes, and available parking spots",,
7/25/2023 9:48:19,Staff,44,Combination of the two,4,25,Car (driving myself),I don't have either,,,Sometimes,Maybe,,January 2023
7/25/2023 9:50:48,Staff,45,Fully in-person,5,5,Car (driving myself),I don't have either,,,No,No,,
7/25/2023 9:54:43,Staff,46,Combination of the two,3,15.8,Car (driving myself),I don't have either,,,Yes,No,,
7/25/2023 9:59:06,Staff,47,Combination of the two,3,26,Car (driving myself),I don't have either,,,Yes,yes,,
7/25/2023 9:59:10,Staff,48,Combination of the two,2,12,Car (driving myself),I don't have either,,,No,,,
7/25/2023 10:09:08,Staff,49,Fully in-person,5,22,Car (driving myself),I don't have either,,,No,"No, I cannot afford either a hybrid or ev vehicle",,
7/25/2023 10:24:33,Staff,50,Fully in-person,5,1,Car (driving myself),I don't have either,,,Sometimes,,"I share a car with my partner who goes to Umass, some days we carpool, some days we bike. I mostly use the car during winter, which feels like most of the school year.",
7/25/2023 10:38:02,Staff,51,Combination of the two,5,19,Car (driving myself),I don't have either,,,Yes,yes,My husband and I have 2 cars and I often take the truck so that he has the car with a car seat for our daughter. The truck is a 1999 Toyota Tacoma and gets terrible gas mileage!,
7/25/2023 11:00:10,Staff,52,Fully in-person,5,30,Car (driving myself),I don't have either,,,Yes,No unfortunately the price of the vehicles has influenced my decision,,November 2022
7/25/2023 11:04:01,Staff,53,Combination of the two,5,13,Car (driving myself),I don't have either,,,No,No,Additional driving is necessary due to limited parking on campus,
7/25/2023 11:10:25,Staff,54,Fully in-person,5,25,Car (driving myself),I don't have either,,,Sometimes,No,35mph    would love an EV or a hybrid  but will never be able to afford one.,
7/25/2023 11:10:32,Staff,55,Combination of the two,2,7,Car (driving myself),I don't have either,,,Yes,Yes,,
7/25/2023 12:43:28,Staff,56,Fully in-person,5,49,Car (driving myself),I don't have either,,,Sometimes,,,February 2023
7/25/2023 13:02:06,Staff,57,Combination of the two,4,5,Car (driving myself),I have a Hybrid,1,We just had to buy a second car for my family and bought an EV and I would so appreciate more electric charging stations on campus. The existing ones are few and far from my office.,Yes,Yes!,,
7/25/2023 13:31:44,Staff,58,Combination of the two,3,5,Car (driving myself),I don't have either,,,Yes,No,,
7/25/2023 14:07:46,Staff,59,Combination of the two,3,18,Car (driving myself),I have a Hybrid,,,No,Maybe,,
7/25/2023 15:18:29,Staff,60,Combination of the two,2,70,Car (driving myself),I don't have either,,,Yes,Not as much as the cost of the car itself,"I live so far away due to my family circumstances. If I could take a bus or a train to work that is both affordable and conveniently timed, I would be so happy!",
7/26/2023 9:00:13,Staff,61,Fully in-person,4,18,Car (driving myself),I don't have either,,,No,No,"I have  57,000 miles on my car",
7/26/2023 9:10:10,Staff,62,Combination of the two,2,23,Car (driving myself),I don't have either,,,No,No,,
7/26/2023 9:23:51,Staff,63,Combination of the two,2,25,Car (driving myself),I don't have either,,,Yes,"Yes. I prefer to park in the parking garage, so it'd be best if charging stations were available there.",My job could easily be done fully remote and I often feel that driving 25 miles each way in to the office (100 miles per week) is a waste. Public transportation is not a realistic option for me.,
7/26/2023 10:32:56,Staff,64,Combination of the two,2,16.1,Car (driving myself),I don't have either,,,No,,,
7/26/2023 11:30:36,Staff,65,Combination of the two,5,50,Car (driving myself),I have a Hybrid,,"My car is not a plug-in hybrid, so I didn't answer the previous question.",No,No.,"The reason I drive myself is because I live in NH and there isn't anyone with whom I can commute. My average mileage is 30 mgp.
The reason I'm not considering an EV is because there are other detrimental environmental issues with EVs that I'm not seeing addressed by those who are pushing the use of EVs (e.g., minerals needed to build the batteries, how the electricity is being generated (coal, hydro), etc.).",
7/27/2023 9:04:45,Staff,66,Combination of the two,3,23,Car (driving myself),I don't have either,,,Sometimes,yes,my hours vary in length so commuting with others isn't an option,
7/30/2023 10:31:53,Staff,67,Combination of the two,3,10,Car (driving myself),I don't have either,,,Yes,No. Cost of the vehicle would,27 MPG on average.,
7/31/2023 10:13:32,Staff,68,Fully in-person,5,16,Car (driving myself),I don't have either,,,Yes,"yes, it would make me feel more confident in my investment in an EV.",,September 2022
7/31/2023 12:19:13,Staff,69,Combination of the two,5,27,Car (driving myself),I have an EV,2,There's nothing north of Elm St. and the Ford Hall spots fill up so quickly.,Yes,No,I worked virtually for about 25-30 days during last fiscal year.,
7/31/2023 14:44:49,Staff,70,Combination of the two,3,32.1,Car (driving myself),I don't have either,3,,Sometimes,"Yes, depending on location",,January 2023
8/1/2023 10:40:15,Staff,71,Fully in-person,5,,Car (driving myself),I have a Hybrid,4,,Yes,no,average 45 mpg.  I commute from Amherst 22 miles RT,
8/7/2023 10:44:09,Staff,72,Combination of the two,3,13,Car (driving myself),I don't have either,,,Yes,"would help, but if the EVs were cheaper and I could afford one that would be more a factor",Moving from Amherst to Chicopee because we got priced out of being able to live there on 2 working adults' salaries. Hard to even consider building a savings for an EV car when our savings are completely gone from trying to be able to afford living close to where we work. It is a goal one day to be able to have an EV car though.,December 2022
9/19/2023 10:51:25,Staff,73,Combination of the two,4,64,Car (driving myself),I don't have either,,,No,Absolutely,,
9/19/2023 10:57:47,Staff,74,Combination of the two,4,12.4,Car (driving myself),I don't have either,,,No,possibly,,
9/19/2023 10:59:53,Staff,75,Combination of the two,2,27,Car (driving myself),I don't have either,,,No,No,,
9/19/2023 11:01:50,Staff,76,Fully in-person,5,14,Car (driving myself),I don't have either,,,Yes,Not really.,,
9/19/2023 11:02:34,Staff,77,Fully in-person,5,13,Car (driving myself),I don't have either,,,No,,carpool sometimes,January 2023
9/19/2023 11:02:48,Staff,78,Fully in-person,5,17.5,Car (driving myself),I don't have either,,,Sometimes,No. ,,
9/19/2023 11:02:54,Staff,79,Combination of the two,2,9.8,Car (driving myself),I don't have either,,,Yes,"Nope, the cost of electric cars is still too high for my budget.","If Smith helped invest in our local public transit more people could bus into work, I would take the bus if it was at all possible from Holyoke.",
9/19/2023 11:06:15,Staff,80,Fully in-person,5,8.3,Car (driving myself),I don't have either,,,Yes,No,,March 2023
9/19/2023 11:10:21,Staff,81,Combination of the two,4,52.6,Car (driving myself),I have a Hybrid,,,Sometimes,Yes!,"I stay down in Northampton about 2 nights a week, and in Vermont the other 3 work nights per week. Only worked from home one day a week during the summer.",
9/19/2023 11:15:11,Staff,82,Combination of the two,4,3.4,Car (driving myself),I have a Hybrid,1,"The main problem with using Campus EV charging stations is that you really need to move your vehicle when it's done charging, which will be in the middle of the day when finding nearby parking is impossible or difficult. 

For full time staff, taking a break in the middle of the day to move ones car around, especially timing it around meetings and obligations, is a barrier.  I understand the reason for charging cars that are fully charged, because of limited availability, but that also feels like a tax one pays to not interrupt their work day.

That being said, a large EV bank in the Garage could go a long way to improving the situation.  People who complain about parking often are complaining about the process of finding parking, because they are trying to seek the perfect spot.  Ones frustration with parking is mitigated if there is a solid place you go every day, like the Garage, so encouraging the use of the Garage can reduce parking stress, period, and if you need to move your EV because it is done charging you know you'll have a spot nearby.

In fact, I would say that reducing the total number of lots and increasing large parking areas like the Garage would actually make people happier (which they wouldn't admit during the process), and give more green space for students to enjoy.   ",Yes,"No, but I know it would impact others.","I may not be car pooling, but I am bringing my Campus School kid to school each day.  ",
9/19/2023 11:22:05,Staff,83,Fully in-person,5,45,Car (driving myself),I don't have either,,,No,Maybe,,
9/19/2023 11:23:02,Staff,84,Combination of the two,4,4,Car (driving myself),I don't have either,,,No,no,,
9/19/2023 11:23:39,Staff,85,Fully in-person,5,4.5,Car (driving myself),I don't have either,,,No,,,
9/19/2023 11:23:47,Staff,86,Fully in-person,5,7.5,Car (driving myself),I don't have either,,,Sometimes,"Maybe, but I'd also need to make more money to afford one",My gas mileage is 27.7mpg. I didn't work in June or July though ,January 2023
9/19/2023 11:25:35,Staff,87,Combination of the two,4,1,Car (driving myself),I don't have either,,,,,,
9/19/2023 11:26:04,Staff,88,Combination of the two,4,27.5,Car (driving myself),I don't have either,,,Yes,"Yes, Definitely!",,
9/19/2023 11:27:08,Staff,89,Fully in-person,5,3.1,Car (driving myself),I don't have either,,,Yes,oh ya,,
9/19/2023 11:28:27,Staff,90,Combination of the two,2,30,Car (driving myself),I don't have either,,,Yes,Yes,My car's gas mileage is ~ 34 mpg ( a little lower in the winter),
9/19/2023 11:28:38,Staff,91,Combination of the two,2,10,Car (driving myself),I have an EV,1,,Yes,"We purchased an EV car in December of 2022. I do not find the charging spots on campus convenient to my work location. And, if I were to park there, the need to move the car after charging adds an extra time burden. I typically leave the EV car to my partner and I use our gasoline car for communting. As it is, finding a parking spot at Smith is time-consuming, as I'm sure you know.  ",,
9/19/2023 11:40:16,Staff,92,Combination of the two,2,21,Car (driving myself),I don't have either,,,No,,"As a fundraiser for Smith, I use a rental or my personal vehicle to visit donors. This is not technically a commute, but we on the Development staff have discussed our extensive car and air travel as part of Smith's carbon footprint.",
9/19/2023 11:40:33,Staff,93,Combination of the two,3,25,Car (driving myself),I don't have either,,,Sometimes,"No, I just can't afford a new car.",,
9/19/2023 11:47:43,Staff,94,Combination of the two,3,12.5,Car (driving myself),I don't have either,,,Sometimes,,,
9/19/2023 11:49:24,Staff,95,Combination of the two,2,10,Car (driving myself),I don't have either,,,No,,,
9/19/2023 11:50:38,Staff,96,Fully in-person,5,3.1,Car (driving myself),I have a Hybrid,3,N/A - My hybrid is not a plug-in,Yes,Yes,"My car averages 50mpg. During the summer months (June through August), I ride my bike to work on average one day per week.",October 2022
9/19/2023 11:51:11,Staff,97,Combination of the two,4,1.3,Car (driving myself),I don't have either,,,Yes,yes,,
9/19/2023 11:55:32,Staff,98,Fully in-person,5,10,Car (driving myself),I don't have either,,,No,No,I typically average about 24 MPG.  ,
9/19/2023 12:30:20,Staff,99,Combination of the two,3,2.7,Car (driving myself),I don't have either,,,Sometimes,not sure,,
9/19/2023 12:39:15,Staff,100,Fully in-person,5,17,Car (driving myself),I don't have either,,I have a gasoline ICE vehicle. My home cannot support an EV charger.,Sometimes,No.,"Seemingly many folks who are new to Smith in the past 5 years, myself included, have to live far from campus due to the cost of housing. I purchased my house in 2018 and it was in the closest location I could afford (17 miles/25-30 minute commute). To match my current mortgage, I would have to find a house <$200,000 with today's interest rate. That's not possible and I can't afford to pay more for housing. Many folks have to commute due to this reason. If Smith wants more folks to decrease their carbon footprint, wages must increase. ",
9/19/2023 13:16:44,Staff,101,Combination of the two,0.25,106,Car (driving myself),I don't have either,,"I work primarily remote and I commuted in once a month, with extra trips for reunions. ",Yes,Yes - most electric cars would not make 200+ without some recharging so having an electric vehicle charger on campus would make that possible for me. ,2012 Honda fit automatic - average MPG is 31.,
9/19/2023 14:28:31,Staff,102,Fully in-person,5,34,Car (driving myself),I don't have either,,,No,yes,,
9/19/2023 15:59:49,Staff,103,Fully in-person,5,7,Car (driving myself),I don't have either,,,Yes,"Yes, and perhaps subsidies from the college for staff to buy EVs! :)","I have to drop my child off at school in the morning (at Northampton High) and then backtrack to campus, so that does increase my mileage. My partner works on campus too but we drive separately because we have different work hours and also because I do the school drop-off/pick-up.  ",
9/19/2023 17:14:26,Staff,104,Combination of the two,4,3,Car (driving myself),I don't have either,,,Sometimes,No. I live closer to campus so would not need to use charging station. Having to move one's car after a certain time period at the charging station would by inconvenient to my work day schedule.,,
9/20/2023 7:21:23,Staff,105,Fully in-person,5,27,Car (driving myself),I don't have either,,,Yes,Yes,,
9/20/2023 9:44:28,Staff,106,Combination of the two,3,7.8,Car (driving myself),I don't have either,,,Sometimes,yes,,
,,,,,18.8,,,,,,,,
7/25/2023 9:23:21,Staff,107,Combination of the two,5,1,Car and walking,I don't have either,,,Sometimes,A substantial raise would impact my decision. ;) ,N/A,August 2022
7/25/2023 12:55:42,Staff,108,Fully in-person,5,1,"car most days, but bike some days (maybe like 5% of days)",I have a Hybrid,,,Yes,,,
7/25/2023 9:01:56,Staff,109,Combination of the two,4,2.5,"car, my husband drops me off and picks me up because we share a car",I don't have either,,,Sometimes,no because we live so close,"my one-way commute is 2.5 miles, but because my husband drops me off and goes home and picks me up at the end of the day, the total commute mileage/day is 10 miles, not 5.  However, we're reducing our carbon footprint because we only own one car:  that's one less car produced/sold/etc.  Weather permitting, I also bike to work once/week, and remote days are 2/week in summer but only 1/week during the AY, so the math is not straightforward.  ",
7/25/2023 6:46:40,Staff,110,Combination of the two,2 days,11,Carpooling (someone else was driving me),I don't have either,,,Sometimes,,,
7/25/2023 9:32:00,Staff,111,Fully in-person,4,3.7,Carpooling (someone else was driving me),I don't have either,,,No,"No, the exorbitant expense of purchasing such a vehicle and the lack of ability to charge it at a home without a garage would limit my consideration of an EV vehicle.",,
9/19/2023 11:05:32,Staff,112,Combination of the two,4,5.2,Carpooling (someone else was driving me),I have a Hybrid,,"I have never used a charging station at Smith; I would if they were free and convenient to where I work on campus or where I can typically find parking, such as the covered lot, but I think they're all over by the science buildings?",Yes,the cost of an EV is a bigger inhibitor than access to charging on campus but I also live close enough that I don't need to charge my PHEV (and wouldn't need to charge an EV) on campus,,
9/19/2023 11:08:47,Staff,113,Combination of the two,4,4.4,Carpooling (someone else was driving me),I don't have either,,,Sometimes,No,,November 2022
9/19/2023 12:40:57,Staff,114,Combination of the two,2,25,Carpooling (someone else was driving me),I don't have either,,,Yes,no,,
9/19/2023 15:02:18,Staff,115,Fully in-person,5,6,Carpooling (someone else was driving me),I don't have either,,,Yes,yes,,
9/19/2023 14:28:16,Staff,116,Combination of the two,4,5,Carpooling but I'm often the driver,I don't have either,,,Sometimes,"maybe, but it's low on the list compared to cost and long term reliability factors","I previously took the bus more frequently, up to 5 days a week, but route and schedule changes have made that much less possible. If the Rt 39 bus between Smith and Hampshire returned to full service I would likely drive once per week or less. Also in the past I participated in the Smith parking opt-out program and my shared car was generally parked at the other person's work location (elsewhere in Northampton, not on campus). Now that program has changed, and for some reason staff working hybrid aren't eligible, so I park on campus 3-4 days per week.",
9/19/2023 11:01:33,Staff,117,Fully in-person,5,1,"Each day varies, but I use a combination of walking, bicycle, or getting a ride (in a car)",I don't have either,,,Yes,"Yes, it would help!","My commute is short and the mode really varies day to day, so I'm sorry I can't pick a single mode as the primary one. It really is probably evenly distributed between walking, bicycling, and getting a ride in a car. I would bike MUCH MORE if there were protected bicycle lock-ups (rather than open to the elements). Thanks!",
,,,,,5.981818182,,,,,,,,
7/25/2023 8:59:55,Staff,118,Combination of the two,4,14,Train,I don't have either,,,Yes,"Yes. Functional, well-maintained chargers spread across campus parking would definitely make owning an EV more convenient.",,
7/25/2023 16:25:48,Staff,119,Combination of the two,4,10,Train,I don't have either,3,,Sometimes,,,February 2023
,,,,,12,,,,,,,,
7/25/2023 8:18:53,Staff,120,Combination of the two,2,0.9,Walking,,,,,,,
7/25/2023 8:42:59,Staff,121,Combination of the two,4,0.2,Walking,I don't have either,,,Sometimes,Yes,I live next to campus. I don't use my car to car to commute to Smith.,November 2022
7/25/2023 9:15:43,Staff,122,Combination of the two,2,0.3,Walking,,,,Sometimes,No,,
7/25/2023 11:43:37,Staff,123,Fully in-person,5,1,Walking,,,,Yes,no,,March 2023
7/26/2023 14:37:54,Staff,124,Fully in-person,5,1,Walking,,,,Yes,Yes,I walk or bike if the weather is nice. Otherwise I will occasionally drive,
8/1/2023 9:41:58,Staff,125,Combination of the two,2,0.5,Walking,,,,Sometimes,yes,,August 2022
9/19/2023 11:16:48,Staff,126,Fully in-person,5,1,Walking,,,,Sometimes,"Yes - as a renter, I'd be dependent on municipal or Smith-owned charging services.",,June 2023
9/19/2023 11:25:21,Staff,127,Combination of the two,3,0.5,Walking,,,,Yes,Yes,"I work in the Office of Admission and visit high schools domestically and internationally. Although I don't own a car, I know my footprint is probably quite large compared to other Smith employees. We travel via air in the fall and spring. I would be curious to see a poll on Smith work-related air travel. Thanks for doing this!",
9/19/2023 11:57:56,Staff,128,Fully in-person,5,1,Walking,,,,,,,
9/19/2023 12:05:31,Staff,129,Fully in-person,5,0.6,Walking,,,,Sometimes,"no, because I walk",,
9/19/2023 13:04:09,Staff,130,Fully in-person,5,0.5,Walking,,,,,,,
9/19/2023 16:23:10,Staff,131,Combination of the two,3,1,Walking,,,,,,,
7/25/2023 8:06:11,Staff,132,Fully remote,0,,,,,,,,,
,,,,,0.7,,,,,,,,
,,,,7.639130435,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Bicycle,Bicycle,0.8%,,,,,,,,,
,,Bus,Bus,2.3%,,,,,,,,,
,,Car (driving self),Car alone,75.0%,,,,,,,,,
,,Carpool,Carpool,8.3%,,,,,,,,,
,,Train,Train,1.5%,,,,,,,,,
,,Walk,Walking,9.1%,,,,,,,,,
,,EV,EV,1.5%,,EV Miles,18.5,,,,,,
,,,,,,,,,,,,,
,,,,98.5%,,,,,,,,,